domain,last_update_date,categories,total_votes
eturkey.net,1697423847,"{""Dr.Web"": ""not recommended site""}","{""harmless"": 0, ""malicious"": 0}"
corporacionpaulharris.cl,,"{""Xcitium Verdict Cloud"": ""social networking"", ""Forcepoint ThreatSeeker"": ""service and philanthropic organizations""}","{""harmless"": 0, ""malicious"": 0}"
arto-print.com.ua,,{},"{""harmless"": 0, ""malicious"": 0}"
purehealthandvitality.com,1695168000,{},"{""harmless"": 0, ""malicious"": 0}"
indianwebsites.in,1691773694,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
easydirectory.in,1691773699,{},"{""harmless"": 0, ""malicious"": 0}"
studyquestions.org,1663891200,"{""Forcepoint ThreatSeeker"": ""newly registered websites""}","{""harmless"": 0, ""malicious"": 0}"
larivarolese.it,,{},"{""harmless"": 0, ""malicious"": 0}"
infoacetech.net,1693048181,"{""BitDefender"": ""news"", ""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""media file download""}","{""harmless"": 0, ""malicious"": 0}"
segurospaez.com.mx,,{},"{""harmless"": 0, ""malicious"": 0}"
orodeglietruschi.eu,,"{""Forcepoint ThreatSeeker"": ""educational institutions. compromised websites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
asdpolisportivacollebeato.com,1674115591,{},"{""harmless"": 0, ""malicious"": 0}"
eastphoenixau.com,1690784643,"{""BitDefender"": ""food""}","{""harmless"": 0, ""malicious"": 0}"
pakdigitalmidia.com,1664386836,"{""Forcepoint ThreatSeeker"": ""financial data and services"", ""sophos"": ""financial services""}","{""harmless"": 0, ""malicious"": 0}"
qasatly.net,1699371427,"{""Forcepoint ThreatSeeker"": ""information technology"", ""Xcitium Verdict Cloud"": ""unknown"", ""alphaMountain.ai"": ""Malicious (alphaMountain.ai)""}","{""harmless"": 0, ""malicious"": 0}"
touristpoints.in,1691773568,{},"{""harmless"": 0, ""malicious"": 0}"
mail.bngrz-records.com,1697180400,{},"{""harmless"": 0, ""malicious"": 0}"
thomas-filloux.fr,,"{""alphaMountain.ai"": ""Business/Economy"", ""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
summary.co.in,1686092853,{},"{""harmless"": 0, ""malicious"": 0}"
ckm-news.com,1700352000,"{""Forcepoint ThreatSeeker"": ""news and media"", ""BitDefender"": ""blogs"", ""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
howiswhat.org,1700176921,{},"{""harmless"": 0, ""malicious"": 0}"
udpcenter.com,1680933907,{},"{""harmless"": 0, ""malicious"": 0}"
barzrul.com,1679114667,"{""Sophos"": ""information technology"", ""BitDefender"": ""blogs"", ""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
backlink.co.in,1696851483,{},"{""harmless"": 0, ""malicious"": 0}"
aarogyapeethgurukul.com,1676020659,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
loveflavoredicetea.com,1649060171,{},"{""harmless"": 0, ""malicious"": 0}"
friendsofsuffolkdowns.com,1697760000,"{""BitDefender"": ""gambling"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
health-value.info,1673222400,{},"{""harmless"": 0, ""malicious"": 0}"
after-einloggen.anmeldeseiten.de,,"{""Xcitium Verdict Cloud"": ""unknown"", ""alphaMountain.ai"": ""Phishing (alphaMountain.ai)"", ""Sophos"": ""phishing and fraud"", ""Webroot"": ""Phishing and Other Frauds""}","{""harmless"": 0, ""malicious"": 0}"
aipots.com,1701043200,{},"{""harmless"": 0, ""malicious"": 0}"
health-happiness.info,1673222400,"{""BitDefender"": ""health"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
doctoraz.info,1670198400,{},"{""harmless"": 0, ""malicious"": 0}"
mylawfunding.com,,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
yavatmal.pw,1693501655,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
villmarksenter-riksgrensen.no,,{},"{""harmless"": 0, ""malicious"": 0}"
optimocoffee.com,1545290325,"{""BitDefender"": ""parked""}","{""harmless"": 0, ""malicious"": 0}"
raigad.pw,1685005718,{},"{""harmless"": 0, ""malicious"": 0}"
breezico.me,1694412132,"{""Forcepoint ThreatSeeker"": ""shopping"", ""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
econnexion.net,1706347947,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""financial data and services""}","{""harmless"": 0, ""malicious"": 0}"
cardsforscience.com,1684890819,{},"{""harmless"": 0, ""malicious"": 0}"
loginssearch.com,1688548029,{},"{""harmless"": 0, ""malicious"": 0}"
sindhudurg.pw,1685005718,{},"{""harmless"": 0, ""malicious"": 0}"
nanded.pw,1685005719,{},"{""harmless"": 0, ""malicious"": 0}"
dharashiv.pw,1693501655,{},"{""harmless"": 0, ""malicious"": 0}"
xalternatives.com,1700722800,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 1, ""malicious"": 0}"
petroleumservicesinternational.com,1662287746,{},"{""harmless"": 0, ""malicious"": 0}"
ingesta.cz,,{},"{""harmless"": 0, ""malicious"": 0}"
genuinewebdirectory.com,1682248167,"{""Comodo Valkyrie Verdict"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""newly registered websites""}","{""harmless"": 0, ""malicious"": 0}"
seotekies.com,1705017600,{},"{""harmless"": 0, ""malicious"": 0}"
dhule.pw,1693501655,"{""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
bloggingtekies.com,1704326400,"{""Forcepoint ThreatSeeker"": ""newly registered websites"", ""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
videoreklamka.cz,,{},"{""harmless"": 0, ""malicious"": 0}"
jalna.pw,1693501655,{},"{""harmless"": 0, ""malicious"": 0}"
slayterdev.github.io,1675933887,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""information technology"", ""Sophos"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
health-blog.info,1707782400,{},"{""harmless"": 0, ""malicious"": 0}"
thane.pw,1693501655,{},"{""harmless"": 0, ""malicious"": 0}"
sakthiswaran.com,1675314609,{},"{""harmless"": 0, ""malicious"": 0}"
entecartesio.net,1682604800,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""educational institutions""}","{""harmless"": 0, ""malicious"": 0}"
signinvault.com,1701241200,"{""BitDefender"": ""business"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
heatonlodgeltd.co.uk,,"{""Forcepoint ThreatSeeker"": ""educational institutions""}","{""harmless"": 0, ""malicious"": 0}"
alpana.co.in,1704379189,"{""alphaMountain.ai"": ""Suspicious (alphaMountain.ai)"", ""Xcitium Verdict Cloud"": ""unknown"", ""Forcepoint ThreatSeeker"": ""real estate""}","{""harmless"": 0, ""malicious"": 0}"
asianexclusivetravel.com,1665754022,"{""Sophos"": ""phishing and fraud"", ""alphaMountain.ai"": ""Phishing"", ""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""travel""}","{""harmless"": 0, ""malicious"": 0}"
bhandara.pw,1693501655,{},"{""harmless"": 0, ""malicious"": 0}"
госуслуги-вход.рф,,"{""Forcepoint ThreatSeeker"": ""hosted business applications""}","{""harmless"": 0, ""malicious"": 0}"
hcgdietonreview.com,1688774400,"{""Comodo Valkyrie Verdict"": ""media sharing"", ""BitDefender"": ""parked"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
mikeurueta.com,1635198960,{},"{""harmless"": 0, ""malicious"": 0}"
yhadiramusic.com,1669970408,{},"{""harmless"": 0, ""malicious"": 0}"
guidehealth.info,1703554658,"{""sophos"": ""health and medicines""}","{""harmless"": 0, ""malicious"": 1}"
zendiar.com,1692472902,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
vialatea.com,1684831836,"{""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
newdirectory.in,1696621075,{},"{""harmless"": 0, ""malicious"": 0}"
rcia.us,1613141519,"{""alphaMountain.ai"": ""Business/Economy, Suspicious (alphaMountain.ai)""}","{""harmless"": 0, ""malicious"": 0}"
barkmanoil.com,1700295551,"{""BitDefender"": ""business"", ""Forcepoint ThreatSeeker"": ""shopping""}","{""harmless"": 0, ""malicious"": 0}"
jsdicomer.com.mx,,{},"{""harmless"": 0, ""malicious"": 0}"
